ID,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Terry Lockett - 129625,1,29.54,28.44,0.0,0.0,0.6584399207350027,0.904077701075614,0.41868678760635736,0.520626914069537,0.4555935867411277,0.22554494685642226,0.5388218339038011,0.42604936047559,0.22842731039452352,0.9720661422379194,0.7304543265371649,0.5570717611173543,0.6328463637823085,0.6577299727082999,0.7941884732701878,0.017498795954406808,0.4304061647134371,0.12827099052817467,0.0,0.03644244662064537,0.03539894043987799,0,0,1,0,73.925,199.4,31.5,75.5,16.2,1.514,4.478,34.5,124.2,7.1,4.378,4.492,0.2904298408762141,73.71799999999999
Deion Burks - 145107,2,27.54,28.44,1.0,0.5,0.6903260673752477,0.7828704446941724,0.21929683737357522,0.8218339038011169,0.6995136011529454,0.4507295982705819,0.712484237074401,0.4514501891551072,0.43361556476310575,0.9597046074811366,0.9084925349173222,0.6000160539412426,0.8416278696419971,0.7184941403114464,0.5143682774121047,0.5145288168245304,0.24121046716969016,0.16471343714882003,0.0,0.11815700754535238,0.391234548081554,1,0,1,0,73.925,199.4,31.5,75.5,16.2,1.514,4.478,34.5,124.2,7.1,4.378,4.492,0.17635668526555073,73.718
Dalvin Smith - 98019,3,35.97,28.24,1.0,0.33,0.6197081606917673,0.8130518542302135,0.43594477444212554,0.7303188614664025,0.733381372725635,0.7600432354530715,0.9111871734822554,0.4094757701315078,0.7247342821113313,0.8268582436988281,0.8852143201155884,0.8416278696419971,0.9976721785198266,0.6753893080751324,0.7737999678921175,0.2894525606036282,0.462674586611013,0.5048161823727725,0.7090223149783271,0.21239364263926794,0.5992936265853267,0,0,1,0,73.925,199.4,31.5,75.5,15.4,1.52,4.522,34.3,125.0,6.978,4.368,4.492,0.2265736722463319,73.718
Diante Vines - 129483,1,33.11,28.15,0.0,0.0,0.38533597549990994,0.4344196500240809,0.420211912024402,0.7301387137452712,0.286434876598811,0.21203386777157268,0.36479913529093855,0.5588182309493784,0.23923617366240318,0.8608925991330871,0.38906726601380637,0.3804784074490287,0.4604270348370525,0.6577299727082999,0.4461390271311607,0.44509552095039334,0.13702038850537807,0.14384331353347246,0.0,0.35703965323486914,0.16527532509231016,0,0,1,0,73.925,199.4,31.5,75.5,15.4,1.514,4.478,34.5,124.2,7.1,4.368,4.492,0.05587724736515809,73.718
Reece Vander Zee - 189694,1,35.23,28.13,0.0,0.0,0.35290938569627095,0.3935623695617274,0.3935623695617274,0.5627814808142677,0.629436137632859,0.36335795352188793,0.8683120158529994,0.34966672671590704,0.3276887047378851,0.5313854551292342,0.5915074650826778,0.35647776529137903,0.8266977042864023,0.35703965323486914,0.3441965002408091,0.5313854551292342,0.5915074650826778,0.35647776529137903,0.8266977042864023,0.35703965323486914,0.3441965002408091,1,0,1,0,73.925,199.4,31.5,75.5,15.4,1.514,4.478,34.5,125.0,6.978,4.368,4.492,0.3057222566646001,73.718
Jimmy Horn - 144483,3,54.19,27.92,1.0,0.33,0.9111871734822554,0.9558516615829186,0.8324771231337293,0.9540623311115114,0.4691046658259773,0.628355251306071,0.5777337416681679,0.2239236173662403,0.8501170960187353,0.9941403114464601,0.7921014609086531,0.8580028897094236,0.6627869641997111,0.37943490126826135,0.9528816824530422,0.6916037887301333,0.32693851340504093,0.33978166639910096,0.3994220581152673,0.17996468132926632,0.49783271793225237,1,0,0,1,68.125,174.0,30.375,74.5,12.6,1.54,4.46,38.0,128.0,7.058,4.41,4.34,0.19371564372804298,68.07
Charone Peake - 10875,1,100.0,27.86,0.0,0.0,0.5845793550711583,0.7280462353507786,0.13324771231337293,0.7908484957665286,0.6022338317420285,0.5898036389839668,0.7577013150783642,0.6782561700594487,0.5307151864528914,0.9046395890191042,0.6922459463798363,0.7569433295874137,0.7671375822764489,0.6753893080751324,0.6318831273077541,0.44758388184299247,0.20059399582597529,0.31257023599293626,0.7029218173061487,0.6183175469577782,0.4175630117193771,1,0,1,0,74.375,209.0,34.0,81.5,12.0,1.62,4.45,35.5,122.0,6.96,4.46,4.444,0.6338892333126679,75.4
Senika McKie - 158142,2,14.98,27.58,1.0,0.5,0.2613943433615565,0.42454647615989727,0.1638304703804784,0.7050981805080165,0.529994595568366,0.5496306971716808,0.5800756620428752,0.6049360475589983,0.4770311655557557,0.7721143040616472,0.6476159897254776,0.6207256381441644,0.817225878953283,0.7113501364585005,0.7129555305827581,0.4578584042382405,0.3683576818108846,0.38529458982180126,0.3948466848611334,0.35703965323486914,0.26585326697704287,0,0,1,0,74.825,209.6,32.6,77.9,15.4,1.54,4.5,34.7,122.2,7.072,4.390000000000001,4.5520000000000005,0.10609423434593925,73.81599999999999
Mario Alford - 9671,1,100.0,27.43,0.0,0.0,0.09908124662223022,0.1288328784716648,0.1288328784716648,0.997838227346424,0.649792830120699,0.7166276346604216,0.8902900378310215,0.4854981084489281,0.8796613222842731,0.996147054101782,0.611334082517258,0.6715363621769145,0.8470862096644727,0.47607962754856314,0.8452400064215765,0.996147054101782,0.611334082517258,0.6715363621769145,0.8470862096644727,0.47607962754856314,0.8452400064215765,1,0,1,0,68.5,180.0,31.25,74.375,13.0,1.64,4.43,34.0,121.0,6.64,4.07,4.409999999999999,0.4328146311221327,71.66
Jehu Chesson - 11894,2,100.0,27.2,0.0,0.0,0.5323365159430733,0.5970460748113662,0.5344357039653235,0.8575031525851198,0.5943073320122501,0.6288956944694649,0.7265357593226446,0.7288776796973518,0.3096739326247523,0.8982180125220741,0.6931289131481779,0.8109648418686788,0.9057633649060844,0.7358323968534275,0.6718574410017659,0.5968052656927275,0.15965644565740889,0.2024401990688714,0.0,0.6277091025846845,0.11350136458500562,1,0,1,0,74.88,204.0,33.25,79.5,10.0,1.59,4.47,35.5,132.0,6.7,4.09,4.444,0.5737528414961769,81.55
